SM2 100k Test started at 2026-08-24T16:28:46.399Z
[2026-08-24T16:28:46.454Z] Warmup OK, starting 100k rounds...
[2026-08-24T16:43:48.742Z] Round 40000/100000 done — 42.8 rounds/sec
[2026-08-24T16:43:57.771Z] Round 39000/100000 done — 42.8 rounds/sec
[2026-08-24T16:44:09.996Z] Round 41000/100000 done — 42.9 rounds/sec
[2026-08-24T16:44:19.009Z] Round 40000/100000 done — 42.9 rounds/sec
[2026-08-24T16:44:31.259Z] Round 42000/100000 done — 43.0 rounds/sec
[2026-08-24T16:44:40.309Z] Round 41000/100000 done — 43.0 rounds/sec
[2026-08-24T16:44:52.527Z] Round 43000/100000 done — 43.0 rounds/sec
[2026-08-24T16:45:01.672Z] Round 42000/100000 done — 43.1 rounds/sec
[2026-08-24T16:45:13.794Z] Round 44000/100000 done — 43.1 rounds/sec
[2026-08-24T16:45:22.950Z] Round 43000/100000 done — 43.2 rounds/sec
[2026-08-24T16:45:35.049Z] Round 45000/100000 done — 43.2 rounds/sec
[2026-08-24T16:45:44.168Z] Round 44000/100000 done — 43.2 rounds/sec
[2026-08-24T16:45:57.011Z] Round 46000/100000 done — 43.3 rounds/sec
[2026-08-24T16:46:06.986Z] Round 45000/100000 done — 43.2 rounds/sec
[2026-08-24T16:46:20.176Z] Round 47000/100000 done — 43.3 rounds/sec
[2026-08-24T16:46:30.137Z] Round 46000/100000 done — 43.2 rounds/sec
[2026-08-24T16:46:43.461Z] Round 48000/100000 done — 43.2 rounds/sec
[2026-08-24T16:46:53.162Z] Round 47000/100000 done — 43.2 rounds/sec
[2026-08-24T16:47:06.480Z] Round 49000/100000 done — 43.3 rounds/sec
[2026-08-24T16:47:16.396Z] Round 48000/100000 done — 43.2 rounds/sec
[2026-08-24T16:47:29.491Z] Round 50000/100000 done — 43.3 rounds/sec
[2026-08-24T16:47:39.430Z] Round 49000/100000 done — 43.2 rounds/sec
[2026-08-24T16:47:52.600Z] Round 51000/100000 done — 43.3 rounds/sec
[2026-08-24T16:48:02.382Z] Round 50000/100000 done — 43.3 rounds/sec
[2026-08-24T16:48:14.116Z] Round 52000/100000 done — 43.3 rounds/sec
[2026-08-24T16:48:22.928Z] Round 51000/100000 done — 43.3 rounds/sec
[2026-08-24T16:48:34.891Z] Round 53000/100000 done — 43.4 rounds/sec
[2026-08-24T16:48:43.920Z] Round 52000/100000 done — 43.4 rounds/sec
[2026-08-24T16:48:56.512Z] Round 54000/100000 done — 43.4 rounds/sec
[2026-08-24T16:49:08.230Z] Round 53000/100000 done — 43.4 rounds/sec
[2026-08-24T16:49:22.696Z] Round 55000/100000 done — 43.3 rounds/sec
[2026-08-24T16:49:36.563Z] Round 54000/100000 done — 43.2 rounds/sec
[2026-08-24T16:49:54.688Z] Round 56000/100000 done — 43.0 rounds/sec
[2026-08-24T16:50:07.869Z] Round 55000/100000 done — 42.9 rounds/sec
[2026-08-24T16:50:26.861Z] Round 57000/100000 done — 42.8 rounds/sec
[2026-08-24T16:50:41.007Z] Round 56000/100000 done — 42.6 rounds/sec
[2026-08-24T16:50:56.436Z] Round 58000/100000 done — 42.6 rounds/sec
[2026-08-24T16:51:07.500Z] Round 57000/100000 done — 42.5 rounds/sec
[2026-08-24T16:51:23.076Z] Round 59000/100000 done — 42.5 rounds/sec
[2026-08-24T16:51:35.097Z] Round 58000/100000 done — 42.4 rounds/sec
[2026-08-24T16:51:52.881Z] Round 60000/100000 done — 42.3 rounds/sec
[2026-08-24T16:52:06.194Z] Round 59000/100000 done — 42.1 rounds/sec
[2026-08-24T16:52:21.174Z] Round 61000/100000 done — 42.1 rounds/sec
[2026-08-24T16:52:31.483Z] Round 60000/100000 done — 42.1 rounds/sec
[2026-08-24T16:52:44.134Z] Round 62000/100000 done — 42.2 rounds/sec
[2026-08-24T16:52:54.231Z] Round 61000/100000 done — 42.1 rounds/sec
[2026-08-24T16:53:08.317Z] Round 63000/100000 done — 42.1 rounds/sec
[2026-08-24T16:53:18.215Z] Round 62000/100000 done — 42.1 rounds/sec
[2026-08-24T16:53:35.260Z] Round 64000/100000 done — 42.1 rounds/sec
[2026-08-24T16:53:47.911Z] Round 63000/100000 done — 42.0 rounds/sec
[2026-08-24T16:54:05.177Z] Round 65000/100000 done — 41.9 rounds/sec
[2026-08-24T16:54:16.432Z] Round 64000/100000 done — 41.8 rounds/sec
[2026-08-24T16:54:32.574Z] Round 66000/100000 done — 41.8 rounds/sec
[2026-08-24T16:54:42.785Z] Round 65000/100000 done — 41.8 rounds/sec
[2026-08-24T16:54:56.904Z] Round 67000/100000 done — 41.8 rounds/sec
[2026-08-24T16:55:07.306Z] Round 66000/100000 done — 41.7 rounds/sec
[2026-08-24T16:55:22.447Z] Round 68000/100000 done — 41.7 rounds/sec
[2026-08-24T16:55:33.028Z] Round 67000/100000 done — 41.7 rounds/sec
[2026-08-24T16:55:52.189Z] Round 69000/100000 done — 41.6 rounds/sec
[2026-08-24T16:56:05.199Z] Round 68000/100000 done — 41.5 rounds/sec
[2026-08-24T16:56:23.373Z] Round 70000/100000 done — 41.4 rounds/sec
[2026-08-24T16:56:35.430Z] Round 69000/100000 done — 41.3 rounds/sec
[2026-08-24T16:56:50.806Z] Round 71000/100000 done — 41.3 rounds/sec
[2026-08-24T16:57:02.479Z] Round 70000/100000 done — 41.3 rounds/sec
[2026-08-24T16:57:16.298Z] Round 72000/100000 done — 41.3 rounds/sec
[2026-08-24T16:57:25.257Z] Round 71000/100000 done — 41.3 rounds/sec
[2026-08-24T16:57:38.315Z] Round 73000/100000 done — 41.4 rounds/sec
[2026-08-24T16:57:47.725Z] Round 72000/100000 done — 41.3 rounds/sec
[2026-08-24T16:58:01.035Z] Round 74000/100000 done — 41.4 rounds/sec
[2026-08-24T16:58:10.351Z] Round 73000/100000 done — 41.4 rounds/sec
[2026-08-24T16:58:26.159Z] Round 75000/100000 done — 41.4 rounds/sec
[2026-08-24T16:58:38.362Z] Round 74000/100000 done — 41.3 rounds/sec
[2026-08-24T16:58:54.474Z] Round 76000/100000 done — 41.3 rounds/sec
[2026-08-24T16:59:06.340Z] Round 75000/100000 done — 41.2 rounds/sec
[2026-08-24T16:59:23.262Z] Round 77000/100000 done — 41.2 rounds/sec
[2026-08-24T16:59:35.721Z] Round 76000/100000 done — 41.1 rounds/sec
[2026-08-24T16:59:51.865Z] Round 78000/100000 done — 41.1 rounds/sec
[2026-08-24T17:00:05.015Z] Round 77000/100000 done — 41.0 rounds/sec
[2026-08-24T17:00:23.818Z] Round 79000/100000 done — 40.9 rounds/sec
[2026-08-24T17:00:38.502Z] Round 78000/100000 done — 40.8 rounds/sec
[2026-08-24T17:00:57.834Z] Round 80000/100000 done — 40.7 rounds/sec
[2026-08-24T17:01:10.423Z] Round 79000/100000 done — 40.6 rounds/sec
[2026-08-24T17:01:28.926Z] Round 81000/100000 done — 40.6 rounds/sec
[2026-08-24T17:01:39.727Z] Round 80000/100000 done — 40.5 rounds/sec
[2026-08-24T17:01:55.013Z] Round 82000/100000 done — 40.6 rounds/sec
[2026-08-24T17:02:04.341Z] Round 81000/100000 done — 40.5 rounds/sec
[2026-08-24T17:02:17.936Z] Round 83000/100000 done — 40.6 rounds/sec
[2026-08-24T17:02:26.672Z] Round 82000/100000 done — 40.6 rounds/sec
[2026-08-24T17:02:41.610Z] Round 84000/100000 done — 40.6 rounds/sec
[2026-08-24T17:02:52.012Z] Round 83000/100000 done — 40.6 rounds/sec
[2026-08-24T17:03:05.829Z] Round 85000/100000 done — 40.6 rounds/sec
[2026-08-24T17:03:16.534Z] Round 84000/100000 done — 40.6 rounds/sec
[2026-08-24T17:03:31.441Z] Round 86000/100000 done — 40.6 rounds/sec
[2026-08-24T17:03:42.909Z] Round 85000/100000 done — 40.5 rounds/sec
[2026-08-24T17:03:58.964Z] Round 87000/100000 done — 40.6 rounds/sec
[2026-08-24T17:04:10.004Z] Round 86000/100000 done — 40.5 rounds/sec
[2026-08-24T17:04:23.692Z] Round 88000/100000 done — 40.6 rounds/sec
[2026-08-24T17:04:34.313Z] Round 87000/100000 done — 40.5 rounds/sec
[2026-08-24T17:04:51.561Z] Round 89000/100000 done — 40.5 rounds/sec
[2026-08-24T17:05:03.811Z] Round 88000/100000 done — 40.4 rounds/sec
[2026-08-24T17:05:18.800Z] Round 90000/100000 done — 40.4 rounds/sec
[2026-08-24T17:05:31.003Z] Round 89000/100000 done — 40.4 rounds/sec
[2026-08-24T17:05:45.998Z] Round 91000/100000 done — 40.4 rounds/sec
[2026-08-24T17:05:57.365Z] Round 90000/100000 done — 40.3 rounds/sec
[2026-08-24T17:06:11.070Z] Round 92000/100000 done — 40.4 rounds/sec
[2026-08-24T17:06:22.351Z] Round 91000/100000 done — 40.3 rounds/sec
[2026-08-24T17:06:36.497Z] Round 93000/100000 done — 40.4 rounds/sec
[2026-08-24T17:06:47.881Z] Round 92000/100000 done — 40.3 rounds/sec
[2026-08-24T17:07:01.356Z] Round 94000/100000 done — 40.4 rounds/sec
[2026-08-24T17:07:10.737Z] Round 93000/100000 done — 40.4 rounds/sec
[2026-08-24T17:07:22.484Z] Round 95000/100000 done — 40.4 rounds/sec
[2026-08-24T17:07:33.113Z] Round 94000/100000 done — 40.4 rounds/sec
[2026-08-24T17:07:45.921Z] Round 96000/100000 done — 40.5 rounds/sec
[2026-08-24T17:07:56.330Z] Round 95000/100000 done — 40.4 rounds/sec
